RUN	performance.BasicScript	basicscript	1614647489093	 	3.3.1
USER	Not Friendly and Open Scenario	107	START	1614647491153	1614647491153
USER	Not Friendly and Open Scenario	108	START	1614647491154	1614647491154
USER	Not Friendly and Open Scenario	110	START	1614647491155	1614647491155
USER	Friendly and CLosed Scenario	82	START	1614647491145	1614647491145
USER	Friendly and CLosed Scenario	15	START	1614647491114	1614647491114
USER	Not Friendly and Open Scenario	104	START	1614647491151	1614647491151
USER	Not Friendly and Open Scenario	103	START	1614647491151	1614647491151
USER	Not Friendly and Open Scenario	109	START	1614647491154	1614647491154
USER	Friendly and CLosed Scenario	93	START	1614647491148	1614647491148
USER	Not Friendly and Open Scenario	111	START	1614647491156	1614647491156
USER	Friendly and CLosed Scenario	1	START	1614647491075	1614647491075
USER	Friendly and CLosed Scenario	6	START	1614647491076	1614647491076
USER	Friendly and CLosed Scenario	11	START	1614647491076	1614647491076
USER	Friendly and CLosed Scenario	4	START	1614647491076	1614647491076
USER	Friendly and CLosed Scenario	5	START	1614647491076	1614647491076
REQUEST	111		request_1	1614647491163	1614647491392	OK	 
REQUEST	8		request_1	1614647491112	1614647491389	OK	 
REQUEST	23		request_1	1614647491120	1614647491439	OK	 
REQUEST	47		request_1	1614647491129	1614647491440	OK	 
REQUEST	7		request_1	1614647491121	1614647491441	OK	 
REQUEST	79		request_1	1614647491143	1614647491444	OK	 
USER	Not Friendly and Open Scenario	112	START	1614647492075	1614647492075
REQUEST	87		request_1	1614647491147	1614647492336	OK	 
REQUEST	55		request_1	1614647491131	1614647492356	OK	 
REQUEST	100		request_1	1614647491151	1614647492538	OK	 
REQUEST	52		request_1	1614647491130	1614647492541	OK	 
REQUEST	102		request_1	1614647491151	1614647492542	OK	 
REQUEST	96		request_1	1614647491149	1614647492542	OK	 
REQUEST	37		request_1	1614647491127	1614647492542	OK	 
REQUEST	21		request_1	1614647491119	1614647492544	OK	 
REQUEST	58		request_1	1614647491131	1614647492545	OK	 
REQUEST	67		request_1	1614647491136	1614647492546	OK	 
REQUEST	62		request_1	1614647491132	1614647492543	OK	 
REQUEST	27		request_1	1614647491123	1614647492548	OK	 
REQUEST	106		request_1	1614647491153	1614647492551	OK	 
REQUEST	77		request_1	1614647491141	1614647492551	OK	 
REQUEST	109		request_1	1614647491162	1614647492554	OK	 
REQUEST	30		request_1	1614647491125	1614647492554	OK	 
REQUEST	76		request_1	1614647491140	1614647492557	OK	 
REQUEST	38		request_1	1614647491127	1614647492561	OK	 
REQUEST	104		request_1	1614647491162	1614647492564	OK	 
REQUEST	112		request_1	1614647492077	1614647492566	OK	 
REQUEST	36		request_1	1614647491127	1614647492568	OK	 
REQUEST	43		request_1	1614647491128	1614647492569	OK	 
REQUEST	94		request_1	1614647491149	1614647492570	OK	 
REQUEST	17		request_1	1614647491115	1614647492571	OK	 
REQUEST	75		request_1	1614647491139	1614647492574	OK	 
REQUEST	74		request_1	1614647491138	1614647492574	OK	 
REQUEST	85		request_1	1614647491147	1614647492576	OK	 
REQUEST	68		request_1	1614647491136	1614647492576	OK	 
REQUEST	22		request_1	1614647491119	1614647492577	OK	 
